iter	RMSE
0	0.6291274068
1	0.6070184413
2	0.5851299471
3	0.5665291252
4	0.5482448233
5	0.5324195999
6	0.5173799572
7	0.5023598844
8	0.4879381732
9	0.4762773595
10	0.4694147057
11	0.4601257783
12	0.4506394812
13	0.4425144697
14	0.4347431717
15	0.4261212333
16	0.419704105
17	0.4169796272
18	0.4119659601
19	0.4022557006
20	0.3937017814
21	0.3879217479
22	0.3815764179
23	0.3768670869
24	0.374888301
25	0.3685674824
26	0.3650883038
27	0.3626993486
28	0.3597397519
29	0.3569838801
30	0.3538009004
31	0.3507146618
32	0.347992748
33	0.3432633085
34	0.3378656007
35	0.3359758982
36	0.3313862535
37	0.3280609884
38	0.324195516
39	0.3216805047
40	0.3204107736
41	0.3165468783
42	0.3131732219
43	0.3105825971
44	0.3086214352
45	0.3061395276
46	0.3026356838
47	0.2994046233
48	0.2954664852
49	0.2940867153
50	0.292560362
51	0.2917757525
52	0.2875221143
53	0.2850811607
54	0.2830464937
55	0.2808835789
56	0.2781631323
57	0.2755899349
58	0.2722206627
59	0.2685944957
60	0.2651894072
61	0.2646289357
62	0.2620873997
63	0.2574531865
64	0.2560587372
65	0.2543741548
66	0.2512382898
67	0.2499560539
68	0.2484180714
69	0.2475824386
70	0.246239716
71	0.2441115948
72	0.2425825898
73	0.2396209215
74	0.2378016019
75	0.2355776503
76	0.2341763418
77	0.233150873
78	0.2318434115
79	0.230025688
80	0.2291646238
81	0.2284658236
82	0.2265165187
83	0.2258433968
84	0.2251499216
85	0.2249047013
86	0.2245811557
87	0.2221298285
88	0.2206267877
89	0.2193209134
90	0.2178728409
91	0.2158497936
92	0.2145132169
93	0.2138553549
94	0.2125058205
95	0.211230784
96	0.2099005163
97	0.2093455267
98	0.2086627273
99	0.2077415633
100	0.2064224919
101	0.2047514281
102	0.2042351716
103	0.2036136207
104	0.2030501009
105	0.2022193061
106	0.2011400569
107	0.200586313
108	0.1991531344
109	0.1987144519
110	0.1980257349
111	0.197755408
112	0.1968868156
113	0.1957312068
114	0.1955248621
115	0.1953606151
116	0.1943649695
117	0.1939013321
118	0.193036698
119	0.1918753995
120	0.1908320912
121	0.190159264
122	0.189541421
123	0.1891694395
124	0.1883451466
125	0.1871223162
126	0.186696736
127	0.186375616
128	0.1858368251
129	0.18538712
130	0.1845101731
131	0.1843020881
132	0.1838375777
133	0.1833755952
134	0.183062266
135	0.182682335
136	0.18238457
137	0.1822231733
138	0.1820707628
139	0.1819206712
140	0.181804786
141	0.1815821992
142	0.1807919986
143	0.1797479067
144	0.1794745206
145	0.1789489899
146	0.1781630856
147	0.1780144277
148	0.1777944956
149	0.1772915444
150	0.1768344675
151	0.1764047886
152	0.17569652
153	0.1752994497
154	0.1744714118
155	0.1741022054
156	0.1734579912
157	0.1731600408
158	0.172948246
159	0.1725190189
160	0.1719025661
161	0.1711650421
162	0.1705654792
163	0.1703954344
164	0.1700185523
165	0.1689895883
166	0.1685895069
167	0.1684093653
168	0.1680588362
169	0.1677436398
170	0.1673281749
171	0.1666822506
172	0.1665327644
173	0.1659335222
174	0.1652176075
175	0.1649754442
176	0.1641771269
177	0.1638008119
178	0.1636001672
179	0.1631911658
180	0.1629814402
181	0.1622434524
182	0.1617915136
183	0.1615600319
184	0.1612749826
185	0.1610003664
186	0.1608173994
187	0.160410026
188	0.1600229795
189	0.1597460369
190	0.1591651155
191	0.1590197506
192	0.1588944926
193	0.1587372115
194	0.1581524517
195	0.1579006248
196	0.1576653898
197	0.1575603932
198	0.1574461567
199	0.1572377605
